Name,State,Type,Tuition_out
Winona State University,MN,Public,15302
Weber State University,UT,Public,15260
Miami University-Hamilton,OH,Public,15228
Miami University-Middletown,OH,Public,15228
Rogers State University,OK,Public,15210
University of Wisconsin-Oshkosh,WI,Public,15160
University of North Alabama,AL,Public,15128
University of Minnesota-Morris,MN,Public,15092
University of Central Arkansas,AR,Public,15047
West Liberty University,WV,Public,15020
The University of Tennessee-Martin,TN,Public,14996
Metropolitan State University,MN,Public,14960
Fort Hays State University,KS,Public,14832
Arkansas State University-Main Campus,AR,Public,14778
Missouri State University-Springfield,MO,Public,14746
Western Michigan University,MI,Public,14699
Edinboro University of Pennsylvania,PA,Public,14668
Fairmont State University,WV,Public,14666
South Dakota School of Mines and Technology,SD,Public,14580
CUNY Queens College,NY,Public,14528
University of the Virgin Islands,VI,Public,14496
College of Staten Island CUNY,NY,Public,14480
CUNY John Jay College of Criminal Justice,NY,Public,14460
CUNY Bernard M Baruch College,NY,Public,14452
Truman State University,MO,Public,14440
CUNY Brooklyn College,NY,Public,14430
CUNY Lehman College,NY,Public,14400
CUNY Hunter College,NY,Public,14372
CUNY York College,NY,Public,14348
CUNY City College,NY,Public,14330
Wright State University-Lake Campus,OH,Public,14210
Slippery Rock University of Pennsylvania,PA,Public,14193
Northwestern Oklahoma State University,OK,Public,14183
Lincoln University,MO,Public,14172
University of Central Missouri,MO,Public,14150
Louisiana State University-Alexandria,LA,Public,14024
Northeastern State University,OK,Public,14022
Pennsylvania State University-World Campus,PA,Public,13988
Kutztown University of Pennsylvania,PA,Public,13975
Southwestern Oklahoma State University,OK,Public,13905
Eastern Illinois University,IL,Public,13868
Cleveland State University,OH,Public,13829
University of Arkansas at Pine Bluff,AR,Public,13738
Coppin State University,MD,Public,13622
Western New Mexico University,NM,Public,13539
Missouri Western State University,MO,Public,13465
Morehead State University,KY,Public,13426
University of Minnesota-Rochester,MN,Public,13352
University of New Orleans,LA,Public,13320
Langston University,OK,Public,13286
Shawnee State University,OH,Public,13247
University of Nebraska at Kearney,NE,Public,13194
Bluefield State College,WV,Public,13032
Northwest Missouri State University,MO,Public,12908
Western Illinois University,IL,Public,12897
University of North Georgia,GA,Public,12834
Southeast Missouri State University,MO,Public,12720
University of Arkansas-Fort Smith,AR,Public,12650
Dalton State College,GA,Public,12634
University of Guam,GU,Public,12634
Arkansas Tech University,AR,Public,12528
University of Maryland-University College,MD,Public,12336
SUNY College of Technology at Canton,NY,Public,12320
Southern Arkansas University Main Campus,AR,Public,12156
University of the District of Columbia,DC,Public,12092
Dakota State University,SD,Public,12077
University of Maine at Fort Kent,ME,Public,12075
University of South Dakota,SD,Public,12019
University of Maine at Presque Isle,ME,Public,11995
Wayne State College,NE,Public,11986
University of Minnesota-Crookston,MN,Public,11814
Eastern New Mexico University-Main Campus,NM,Public,11788
South Dakota State University,SD,Public,11689
Black Hills State University,SD,Public,11602
Missouri Southern State University,MO,Public,11568
Lake Superior State University,MI,Public,11427
Northern State University,SD,Public,11210
Middle Georgia State University,GA,Public,11092
Midwestern State University,TX,Public,10644
Charter Oak State College,CT,Public,10437
University of Southern Mississippi,MS,Public,10218
Henderson State University,AR,Public,10180
Harris-Stowe State University,MO,Public,9973
Thomas Edison State University,NJ,Public,9820
New Mexico Highlands University,NM,Public,9288
Dickinson State University,ND,Public,9226
West Texas A & M University,TX,Public,9117
Mayville State University,ND,Public,9084
Nicholls State University,LA,Public,8979
Youngstown State University,OH,Public,8811
Bemidji State University,MN,Public,8677
Southwest Minnesota State University,MN,Public,8610
Granite State College,NH,Public,8505
Central State University,OH,Public,8096
Peru State College,NE,Public,7260
Chadron State College,NE,Public,7152
Alcorn State University,MS,Public,6888
Delta State University,MS,Public,6859
Minot State University,ND,Public,6810
University of Wisconsin-Milwaukee Flex,WI,Public,6750
The University of Texas of the Permian Basin,TX,Public,6622
Mississippi Valley State University,MS,Public,6422
Oklahoma Panhandle State University,OK,Public,6196
University of Puerto Rico-Carolina,PR,Public,6190
Escuela de Artes Plasticas y Diseno de Puerto Rico,PR,Public,5622
Institute of American Indian and Alaska Native Culture and Arts Development,NM,Public,4960
Florida Polytechnic University,FL,Public,4940
University of Puerto Rico-Rio Piedras,PR,Public,4652
University of Puerto Rico-Arecibo,PR,Public,4139
University of Puerto Rico-Cayey,PR,Public,4138
University of Puerto Rico-Humacao,PR,Public,4138
University of Puerto Rico-Ponce,PR,Public,4138
University of Puerto Rico-Bayamon,PR,Public,4105
University of Puerto Rico-Mayaguez,PR,Public,4105
University of Puerto Rico-Aguadilla,PR,Public,4070
Conservatory of Music of Puerto Rico,PR,Public,3370
Colegio Universitario de San Juan,PR,Public,2370
United States Merchant Marine Academy,NY,Public,1020
Haskell Indian Nations University,KS,Public,480
